0,Bennett Zellwood,11-12 Boys 50-back,38.970,1.091
0,Flynn Ashworth,11-12 Boys 50-back,39.380,1.103
0,Emmett Ravenscroft,11-12 Boys 50-back,39.451,0.789
1,Xavier Vandermeer,11-12 Boys 50-back,37.180,1.041
1,Cassius Yarrow,11-12 Boys 50-back,37.762,0.755
1,Oberon Fairbanks,11-12 Boys 50-back,39.710,0.794
0,Soren Foxwell,11-12 Boys 50-breast,38.430,1.076
0,Flynn Ashworth,11-12 Boys 50-breast,45.134,2.111
0,Xavier Quill,11-12 Boys 50-breast,45.739,1.122
1,Dashiell Loxley,11-12 Boys 50-breast,36.221,0.724
1,Oberon Coppersmith,11-12 Boys 50-breast,41.555,1.368
1,Oberon Foxwell,11-12 Boys 50-breast,46.709,1.614
0,Jasper Foxwell,11-12 Boys 50-fly,30.280,0.848
0,Bennett Zellwood,11-12 Boys 50-fly,37.820,1.059
0,Emmett Hartwell,11-12 Boys 50-fly,40.300,1.128
1,Xavier Vandermeer,11-12 Boys 50-fly,34.870,0.976
1,Oberon Coppersmith,11-12 Boys 50-fly,35.621,0.712
1,Alaric Fairbanks,11-12 Boys 50-fly,36.561,0.731
0,Jasper Foxwell,11-12 Boys 50-free,27.610,0.773
0,Soren Foxwell,11-12 Boys 50-free,28.950,0.811
0,Emmett Ravenscroft,11-12 Boys 50-free,31.676,0.689
1,Dashiell Loxley,11-12 Boys 50-free,27.046,0.748
1,Xavier Vandermeer,11-12 Boys 50-free,30.591,0.612
1,Cassius Yarrow,11-12 Boys 50-free,31.780,0.890
0,Una Glenholme,11-12 Girls 50-back,37.930,1.062
0,Halcyon Pemberton,11-12 Girls 50-back,38.300,1.072
0,Saskia Thorneycroft,11-12 Girls 50-back,39.931,0.799
1,Briar Pemberton,11-12 Girls 50-back,34.670,0.971
1,Clemence Umberly,11-12 Girls 50-back,37.757,0.755
1,Greta Jessup,11-12 Girls 50-back,38.470,1.077
0,Briar Ashworth,11-12 Girls 50-breast,43.741,0.875
0,Saskia Thorneycroft,11-12 Girls 50-breast,44.040,1.233
0,Xanthe Yarrow,11-12 Girls 50-breast,44.782,0.896
1,Briar Pemberton,11-12 Girls 50-breast,38.430,0.769
1,Greta Jessup,11-12 Girls 50-breast,42.154,0.843
1,Clemence Umberly,11-12 Girls 50-breast,43.735,0.875
0,Halcyon Pemberton,11-12 Girls 50-fly,36.822,0.736
0,Briar Ashworth,11-12 Girls 50-fly,38.630,0.773
0,Elowen Hartwell,11-12 Girls 50-fly,38.650,1.082
1,Petra Coppersmith,11-12 Girls 50-fly,35.974,0.832
1,Greta Jessup,11-12 Girls 50-fly,36.910,1.033
1,Verity Quill,11-12 Girls 50-fly,40.379,0.808
0,Una Glenholme,11-12 Girls 50-free,32.200,0.902
0,Saskia Thorneycroft,11-12 Girls 50-free,32.980,0.923
0,Xanthe Yarrow,11-12 Girls 50-free,33.480,0.937
1,Briar Pemberton,11-12 Girls 50-free,31.560,0.884
1,Petra Coppersmith,11-12 Girls 50-free,32.931,0.659
1,Nell Hartwell,11-12 Girls 50-free,33.720,0.944
0,Rowan Foxwell,13-14 Boys 50-back,28.838,0.738
0,Xavier Mabbott,13-14 Boys 50-back,31.700,0.761
0,Aiden Ambrose,13-14 Boys 50-back,34.082,0.682
1,Wilder Fairbanks,13-14 Boys 50-back,34.590,0.830
1,Merritt Yarrow,13-14 Boys 50-back,37.676,1.009
1,Lachlan Bellweather,13-14 Boys 50-back,38.620,0.927
0,Rowan Foxwell,13-14 Boys 50-breast,31.870,0.765
0,Cassius Kingsley,13-14 Boys 50-breast,33.450,0.803
0,Percy Dovetail,13-14 Boys 50-breast,37.030,0.889
1,Wilder Fairbanks,13-14 Boys 50-breast,40.250,0.966
1,Zebediah Ravenscroft,13-14 Boys 50-breast,41.200,0.989
1,Lachlan Bellweather,13-14 Boys 50-breast,42.160,1.012
0,Cassius Kingsley,13-14 Boys 50-fly,29.780,0.715
0,Aiden Ambrose,13-14 Boys 50-fly,32.040,0.769
0,Jasper Dovetail,13-14 Boys 50-fly,35.061,0.701
1,Wilder Fairbanks,13-14 Boys 50-fly,33.270,0.798
1,Zebediah Ravenscroft,13-14 Boys 50-fly,36.380,0.873
1,Flynn Mabbott,13-14 Boys 50-fly,37.220,0.837
0,Rowan Foxwell,13-14 Boys 50-free,24.640,0.591
0,Cassius Kingsley,13-14 Boys 50-free,25.482,0.510
0,Xavier Mabbott,13-14 Boys 50-free,27.460,0.659
1,Wilder Fairbanks,13-14 Boys 50-free,29.680,0.712
1,Zebediah Ravenscroft,13-14 Boys 50-free,30.785,0.723
1,Merritt Yarrow,13-14 Boys 50-free,31.040,0.745
0,Yara Dovetail,13-14 Girls 50-back,32.640,0.653
0,Delphine Dunmore,13-14 Girls 50-back,33.910,0.678
0,Elowen Umberly,13-14 Girls 50-back,34.335,0.687
1,Nell Dunmore,13-14 Girls 50-back,30.020,0.600
1,Ophelia Birchall,13-14 Girls 50-back,31.870,0.637
1,Clemence Coppersmith,13-14 Girls 50-back,32.430,0.649
0,Elowen Umberly,13-14 Girls 50-breast,39.230,0.785
0,Quinby Dovetail,13-14 Girls 50-breast,39.750,0.795
0,Halcyon Silverton,13-14 Girls 50-breast,40.300,0.806
1,Nell Dunmore,13-14 Girls 50-breast,32.070,0.641
1,Greta Gildersleeve,13-14 Girls 50-breast,32.986,0.660
1,Ophelia Birchall,13-14 Girls 50-breast,34.461,0.689
0,Delphine Dunmore,13-14 Girls 50-fly,30.730,0.615
0,Zinnia Umberly,13-14 Girls 50-fly,33.890,0.678
0,Quinby Dovetail,13-14 Girls 50-fly,34.140,0.683
1,Delphine Jessup,13-14 Girls 50-fly,32.170,0.643
1,Briar Oakhurst,13-14 Girls 50-fly,34.580,0.692
1,Xanthe Jessup,13-14 Girls 50-fly,37.110,0.742
0,Yara Dovetail,13-14 Girls 50-free,26.140,0.523
0,Delphine Dunmore,13-14 Girls 50-free,27.936,0.559
0,Elowen Umberly,13-14 Girls 50-free,28.370,0.567
1,Greta Gildersleeve,13-14 Girls 50-free,25.232,0.576
1,Nell Dunmore,13-14 Girls 50-free,25.320,0.506
1,Ophelia Birchall,13-14 Girls 50-free,26.680,0.534
0,Ignatius Pemberton,15-18 Boys 50-back,28.270,0.565
0,Cassius Ashworth,15-18 Boys 50-back,30.220,0.604
0,Wilder Dunmore,15-18 Boys 50-back,31.720,0.634
1,Holden Birchall,15-18 Boys 50-back,29.310,0.586
1,Ulysses Pemberton,15-18 Boys 50-back,30.520,0.610
1,Grady Yarrow,15-18 Boys 50-back,31.310,0.626
0,Grady Hollowell,15-18 Boys 50-breast,32.470,0.649
0,Cassius Ashworth,15-18 Boys 50-breast,33.360,0.667
0,Bram Wexford,15-18 Boys 50-breast,34.190,0.684
1,Holden Birchall,15-18 Boys 50-breast,32.740,0.655
1,Ignatius Quill,15-18 Boys 50-breast,33.760,0.675
1,Ulysses Pemberton,15-18 Boys 50-breast,34.039,0.681
0,Ignatius Pemberton,15-18 Boys 50-fly,25.670,0.513
0,Bennett Silverton,15-18 Boys 50-fly,27.720,0.554
0,Merritt Gildersleeve,15-18 Boys 50-fly,29.860,0.597
1,Ignatius Quill,15-18 Boys 50-fly,27.769,0.555
